Hrs,Liq,Buy+Sell
158327,3125,Sell
158327,5000,Sell
158327,424128,Sell
158327,3690,Sell
158328,2031,Sell
158328,960,Sell
158329,7500,Sell
158329,869,Sell
158329,4250,Sell
158329,1350,Sell
158329,140,Sell
158332,55533,Sell
158332,10000,Sell
158332,3000,Sell
158332,17200,Sell
158332,10000,Sell
158333,46817,Sell
158333,4800,Sell
158333,21507,Sell
158333,35588,Sell
158333,268,Sell
158333,30310,Sell
158333,2000,Sell
158333,203030,Sell
158333,22025,Sell
158333,23451,Sell
158333,1341,Sell
158333,27575,Sell
158333,362934,Sell
158333,135169,Sell
158335,650,Sell
158335,10110,Sell
158335,3090,Sell
158335,20200,Sell
158335,2151,Sell
158335,373,Sell
158335,93955,Sell
158335,2079449,Sell
158335,955942,Sell
158335,75911,Sell
158335,99612,Sell
158335,40,Sell
158335,5620,Sell
158335,21,Sell
158335,1500,Sell
158335,3205,Sell
158337,2500,Sell
158337,3530,Sell
158337,20051,Sell
158337,3003,Sell
158339,10450,Sell
158339,821506,Sell
158339,29900,Sell
158339,3477,Sell
158339,5,Sell
158339,62300,Sell
158341,11747,Sell
158341,22000,Sell
158341,183065,Sell
158343,35175,Sell
158343,2000,Sell
158343,10500,Sell
158343,18000,Sell
158343,83142,Sell
158343,103821,Sell
158343,21777,Sell
158343,3840,Sell
158345,80470,Sell
158345,40737,Sell
158345,20666,Sell
158346,27900,Sell
158347,26500,Sell
158347,15714,Sell
158347,46326,Sell
158347,156,Sell
158347,18531,Sell
158347,21670,Sell
158347,225230,Sell
158347,20736,Sell
158348,101,Sell
158348,5400,Sell
158348,7600,Sell
158348,300,Sell
158350,1000,Sell
158351,10365,Sell
158351,9590,Sell
158351,50545,Sell
158351,132780,Sell
158352,17847,Sell
158352,4500,Sell
158352,112380,Sell
158352,202679,Sell
158352,11808,Sell
158352,3000,Sell
158352,37450,Sell
158352,13140,Sell
158352,60500,Sell
158352,14845,Sell
158352,16000,Sell
158352,12340,Sell
