Ftx,Huobi,Okex
53545,53545,53545
53545,53545,53545
53675,53675,53675
53692,53692,53692
53692,53692,53692
53553,53553,53553
54150,54150,54150
54150,54150,54150
54244,54244,54244
54039,54039,54039
54039,54039,54039
54101,54101,54101
54101,54101,54101
53953,53953,53953
53987,53987,53987
53987,53987,53987
54518,54518,54518
54548,54548,54548
54548,54548,54548
54597,54597,54597
54617,54617,54617
54617,54617,54617
54689,54689,54689
54498,54498,54498
54498,54498,54498
54601,54601,54601
54630,54630,54630
54630,54630,54630
54629,54629,54629
54990,54990,54990
54990,54990,54990
55020,55020,55020
54748,54748,54748
54842,54842,54842
54842,54842,54842
54875,54875,54875
54608,54608,54608
54608,54608,54608
54773,54773,54773
54773,54773,54773
54796,54796,54796
53700,53700,53700
53700,53700,53700
52850,52850,52850
52826,52826,52826
52826,52826,52826
52887,52887,52887
53326,53326,53326
53326,53326,53326
53195,53195,53195
53200,53200,53200
53200,53200,53200
53277,53277,53277
53032,53032,53032
53032,53032,53032
52704,52704,52704
53054,53054,53054
53054,53054,53054
52761,52761,52761
52976,52976,52976
52976,52976,52976
52448,52448,52448
51971,51971,51971
51971,51971,51971
51910,51910,51910
51853,51853,51853
51853,51853,51853
51732,51732,51732
51643,51643,51643
51643,51643,51643
51822,51822,51822
52063,52063,52063
52063,52063,52063
52600,52600,52600
53165,53165,53165
53165,53165,53165
52989,52989,52989
53139,53139,53139
53139,53139,53139
53561,53561,53561
54420,54420,54420
54420,54420,54420
54561,54561,54561
54611,54611,54611
54611,54611,54611
54443,54443,54443
54312,54312,54312
54312,54312,54312
54439,54439,54439
54275,54275,54275
54275,54275,54275
54286,54286,54286
54398,54398,54398
54398,54398,54398
54481,54481,54481
54339,54339,54339
54339,54339,54339
54296,54296,54296
55202,55202,55202
55202,55202,55202
55614,55614,55614
59263,59263,59263
59263,59263,59263
60824,60824,60824
60989,60989,60989
60989,60989,60989
59971,59971,59971
59081,59081,59081
59081,59081,59081
58861,58861,58861
59089,59089,59089
59089,59089,59089
59133,59133,59133
59156,59156,59156
59156,59156,59156
53553,53553,53553
53715,53715,53715
53715,53715,53715
53202,53202,53202
52748,52748,52748
52748,52748,52748
52745,52745,52745
52757,52757,52757
52757,52757,52757
52771,52771,52771
52652,52652,52652
52652,52652,52652
52649,52649,52649
52563,52563,52563
52563,52563,52563
52301,52301,52301
52336,52336,52336
52336,52336,52336
52305,52305,52305
52294,52294,52294
52294,52294,52294
52344,52344,52344
52456,52456,52456
52456,52456,52456
52356,52356,52356
52219,52219,52219
52219,52219,52219
51943,51943,51943
51367,51367,51367
51367,51367,51367
51177,51177,51177
51219,51219,51219
51219,51219,51219
50762,50762,50762
50882,50882,50882
50882,50882,50882
50762,50762,50762
50636,50636,50636
50636,50636,50636
50531,50531,50531
50022,50022,50022
50022,50022,50022
50320,50320,50320
50517,50517,50517
50517,50517,50517
50641,50641,50641
50532,50532,50532
50532,50532,50532
50625,50625,50625
50891,50891,50891
50891,50891,50891
50521,50521,50521
50552,50552,50552
50552,50552,50552
50517,50517,50517
50586,50586,50586
50586,50586,50586
50427,50427,50427
50380,50380,50380
50380,50380,50380
50745,50745,50745
50642,50642,50642
50642,50642,50642
50441,50441,50441
49882,49882,49882
49882,49882,49882
49707,49707,49707
50190,50190,50190
50190,50190,50190
48360,48360,48360
48177,48177,48177
48177,48177,48177
48193,48193,48193
48494,48494,48494
48494,48494,48494
48437,48437,48437
48773,48773,48773
48773,48773,48773
48810,48810,48810
48828,48828,48828
48828,48828,48828
49008,49008,49008
48732,48732,48732
48732,48732,48732
48676,48676,48676
48161,48161,48161
48161,48161,48161
48160,48160,48160
48071,48071,48071
48071,48071,48071
48108,48108,48108
48276,48276,48276
48276,48276,48276
48077,48077,48077
47929,47929,47929
47929,47929,47929
47819,47819,47819
47685,47685,47685
47685,47685,47685
47722,47722,47722
47463,47463,47463
47463,47463,47463
47277,47277,47277
47174,47174,47174
47174,47174,47174
47129,47129,47129
47151,47151,47151
47151,47151,47151
46758,46758,46758
47134,47134,47134
47134,47134,47134
47191,47191,47191
46844,46844,46844
46844,46844,46844
47127,47127,47127
47339,47339,47339
47339,47339,47339
47406,47406,47406
47378,47378,47378
47378,47378,47378
47362,47362,47362
47235,47235,47235
47235,47235,47235
47161,47161,47161
47155,47155,47155
47155,47155,47155
47050,47050,47050
46869,46869,46869
46869,46869,46869
46815,46815,46815
46576,46576,46576
46576,46576,46576
46662,46662,46662
46237,46237,46237
46237,46237,46237
46307,46307,46307
46988,46988,46988
46988,46988,46988
46154,46154,46154
46221,46221,46221
46221,46221,46221
46356,46356,46356
46603,46603,46603
46603,46603,46603
46869,46869,46869
46898,46898,46898
46898,46898,46898
46794,46794,46794
46824,46824,46824
46824,46824,46824
46903,46903,46903
46918,46918,46918
46918,46918,46918
47094,47094,47094
46906,46906,46906
46906,46906,46906
46843,46843,46843
47070,47070,47070
47070,47070,47070
47235,47235,47235
47391,47391,47391
47391,47391,47391
47471,47471,47471
47774,47774,47774
47774,47774,47774
47752,47752,47752
47781,47781,47781
47781,47781,47781
48023,48023,48023
48111,48111,48111
48111,48111,48111
48493,48493,48493
48428,48428,48428
48428,48428,48428
48288,48288,48288
48166,48166,48166
48166,48166,48166
49669,49669,49669
49848,49848,49848
49848,49848,49848
50594,50594,50594
51149,51149,51149
51149,51149,51149
51469,51469,51469
51652,51652,51652
51652,51652,51652
51051,51051,51051
50818,50818,50818
50818,50818,50818
50892,50892,50892
50407,50407,50407
50407,50407,50407
50621,50621,50621
50220,50220,50220
50220,50220,50220
50428,50428,50428
50368,50368,50368
50368,50368,50368
51163,51163,51163
52039,52039,52039
52039,52039,52039
49320,49320,49320
48624,48624,48624
48624,48624,48624
48479,48479,48479
48255,48255,48255
48255,48255,48255
48778,48778,48778
48572,48572,48572
48572,48572,48572
48636,48636,48636
48536,48536,48536
48536,48536,48536
48513,48513,48513
48310,48310,48310
48310,48310,48310
48517,48517,48517
48578,48578,48578
48578,48578,48578
48342,48342,48342
48735,48735,48735
48735,48735,48735
48759,48759,48759
48598,48598,48598
48598,48598,48598
48476,48476,48476
48415,48415,48415
48415,48415,48415
48396,48396,48396
48424,48424,48424
48424,48424,48424
48262,48262,48262
48596,48596,48596
48596,48596,48596
48557,48557,48557
48532,48532,48532
48532,48532,48532
48087,48087,48087
48020,48020,48020
48020,48020,48020
47455,47455,47455
47071,47071,47071
47071,47071,47071
46930,46930,46930
47186,47186,47186
47186,47186,47186
47576,47576,47576
48183,48183,48183
48183,48183,48183
48364,48364,48364
48511,48511,48511
48511,48511,48511
48603,48603,48603
48397,48397,48397
48397,48397,48397
48621,48621,48621
48660,48660,48660
48660,48660,48660
48553,48553,48553
48554,48554,48554
48554,48554,48554
48333,48333,48333
47325,47325,47325
47325,47325,47325
47179,47179,47179
47185,47185,47185
47185,47185,47185
47247,47247,47247
47514,47514,47514
47514,47514,47514
47379,47379,47379
47681,47681,47681
47681,47681,47681
47275,47275,47275
47118,47118,47118
47118,47118,47118
46958,46958,46958
46603,46603,46603
46603,46603,46603
47357,47357,47357
47271,47271,47271
47271,47271,47271
47238,47238,47238
47446,47446,47446
47446,47446,47446
47545,47545,47545
47214,47214,47214
47214,47214,47214
47278,47278,47278
47958,47958,47958
47958,47958,47958
48509,48509,48509
48509,48509,48509
48451,48451,48451
48894,48894,48894
48803,48803,48803
48803,48803,48803
48974,48974,48974
49116,49116,49116
49116,49116,49116
49185,49185,49185
48975,48975,48975
48975,48975,48975
48785,48785,48785
48655,48655,48655
48655,48655,48655
48603,48603,48603
48707,48707,48707
48707,48707,48707
48800,48800,48800
48860,48860,48860
48860,48860,48860
48721,48721,48721
48721,48721,48721
48836,48836,48836
48955,48955,48955
48955,48955,48955
48624,48624,48624
48575,48575,48575
48575,48575,48575
48443,48443,48443
48439,48439,48439
48336,48336,48336
48336,48336,48336
48300,48300,48300
49730,49730,49730
49730,49730,49730
49260,49260,49260
49731,49731,49731
49731,49731,49731
49583,49583,49583
49583,49583,49583
50157,50157,50157
50512,50512,50512
50512,50512,50512
51375,51375,51375
51961,51961,51961
51961,51961,51961
51861,51861,51861
52084,52084,52084
52084,52084,52084
51867,51867,51867
51906,51906,51906
51906,51906,51906
51993,51993,51993
51980,51980,51980
51980,51980,51980
52400,52400,52400
51985,51985,51985
51211,51211,51211
51211,51211,51211
51418,51418,51418
51418,51418,51418
51161,51161,51161
51339,51339,51339
51339,51339,51339
51255,51255,51255
50964,50964,50964
52168,52168,52168
52168,52168,52168
52848,52848,52848
52970,52970,52970
52970,52970,52970
53151,53151,53151
53342,53342,53342
53342,53342,53342
53437,53437,53437
52975,52975,52975
52975,52975,52975
53241,53241,53241
53222,53222,53222
53222,53222,53222
53079,53079,53079
52701,52701,52701
52701,52701,52701
52681,52681,52681
52675,52675,52675
52675,52675,52675
52598,52598,52598
52597,52597,52597
52597,52597,52597
52681,52681,52681
52940,52940,52940
52940,52940,52940
52860,52860,52860
53078,53078,53078
53078,53078,53078
52992,52992,52992
54579,54579,54579
